ID_Comentario,Texto,Data,Classificacao
"62,""Entrega super rápida, adorei!"",2023-01-09,Positivo"
63,Demorou muito para chegar.,2023-11-16,Positivo
64,Demorou muito para chegar.,2022-09-28,Positivo
65,Não era o que eu esperava.,2022-02-02,Positivo
66,Não gostei do atendimento.,2023-04-19,Negativo
67,Ótimo produto!,2022-04-06,Neutro
"68,""Entrega super rápida, adorei!"",2023-02-24,Neutro"
69,Muito satisfeito com a compra.,2023-02-25,Positivo
70,Demorou muito para chegar.,2023-04-24,Positivo
"71,""Entrega super rápida, adorei!"",2023-02-28,Neutro"
72,Não gostei do atendimento.,2022-11-20,Positivo
73,Excelente custo-benefício!,2023-12-23,Negativo
"74,""Péssima qualidade, não recomendo."",2022-02-26,Positivo"
"75,""Atendimento muito bom, parabéns!"",2023-08-18,Positivo"
"76,""Péssima qualidade, não recomendo."",2022-01-11,Negativo"
"77,""Entrega super rápida, adorei!"",2023-04-04,Neutro"
78,Não era o que eu esperava.,2023-02-17,Neutro
"79,""Entrega super rápida, adorei!"",2022-03-29,Neutro"
"80,""Atendimento muito bom, parabéns!"",2022-11-24,Positivo"
"81,""Péssima qualidade, não recomendo."",2023-06-18,Neutro"
82,Demorou muito para chegar.,2023-11-14,Negativo
83,Não gostei do atendimento.,2022-10-08,Negativo
84,Ótimo produto!,2023-06-01,Neutro
85,Excelente custo-benefício!,2022-02-11,Negativo
86,Não era o que eu esperava.,2022-07-11,Positivo
"87,""Péssima qualidade, não recomendo."",2023-04-16,Positivo"
"88,""Entrega super rápida, adorei!"",2022-10-06,Negativo"
"89,""Entrega super rápida, adorei!"",2022-01-18,Neutro"
90,Excelente custo-benefício!,2023-12-15,Positivo
"91,""Péssima qualidade, não recomendo."",2023-08-07,Positivo"
92,Excelente custo-benefício!,2023-08-18,Negativo
93,Excelente custo-benefício!,2023-11-26,Positivo
94,Muito satisfeito com a compra.,2022-05-03,Neutro
95,Produto veio com defeito.,2023-02-20,Negativo
"96,""Péssima qualidade, não recomendo."",2023-08-25,Negativo"
97,Não era o que eu esperava.,2022-08-17,Neutro
"98,""Entrega super rápida, adorei!"",2022-03-15,Neutro"
99,Não gostei do atendimento.,2022-03-01,Neutro
100,Não era o que eu esperava.,2022-11-27,Neutro
"101,""Entrega super rápida, adorei!"",2023-11-10,Positivo"
102,Excelente custo-benefício!,2022-06-29,Positivo
103,Ótimo produto!,2022-02-28,Neutro
104,Não era o que eu esperava.,2023-09-27,Neutro
"105,""Entrega super rápida, adorei!"",2023-10-28,Neutro"
106,Não era o que eu esperava.,2023-12-03,Positivo
107,Demorou muito para chegar.,2023-07-07,Neutro
108,Produto veio com defeito.,2023-07-10,Positivo
109,Não era o que eu esperava.,2022-04-24,Positivo
110,Ótimo produto!,2023-11-10,Neutro
"111,""Atendimento muito bom, parabéns!"",2023-10-17,Neutro"
"112,""Péssima qualidade, não recomendo."",2022-02-05,Negativo"
113,Ótimo produto!,2022-06-11,Neutro
114,Não gostei do atendimento.,2022-09-28,Positivo
"115,""Atendimento muito bom, parabéns!"",2023-09-28,Negativo"
116,Produto veio com defeito.,2023-10-03,Positivo
117,Muito satisfeito com a compra.,2023-06-12,Neutro
"118,""Atendimento muito bom, parabéns!"",2022-05-09,Neutro"
"119,""Atendimento muito bom, parabéns!"",2023-06-25,Neutro"
120,Não era o que eu esperava.,2023-10-29,Negativo
121,Ótimo produto!,2023-07-12,Neutro
122,Não era o que eu esperava.,2022-11-12,Negativo
123,Muito satisfeito com a compra.,2023-02-14,Neutro
"124,""Péssima qualidade, não recomendo."",2022-05-01,Positivo"
"125,""Atendimento muito bom, parabéns!"",2022-12-17,Negativo"
126,Ótimo produto!,2022-07-05,Neutro
127,Muito satisfeito com a compra.,2023-05-20,Positivo
"128,""Atendimento muito bom, parabéns!"",2023-03-25,Neutro"
129,Ótimo produto!,2023-09-28,Neutro
"130,""Entrega super rápida, adorei!"",2022-08-29,Positivo"
131,Excelente custo-benefício!,2023-01-09,Neutro
132,Não gostei do atendimento.,2023-11-10,Positivo
133,Excelente custo-benefício!,2023-09-25,Positivo
"134,""Péssima qualidade, não recomendo."",2023-06-12,Positivo"
135,Não era o que eu esperava.,2022-07-19,Neutro
136,Excelente custo-benefício!,2023-12-18,Neutro
137,Produto veio com defeito.,2023-11-27,Negativo
138,Ótimo produto!,2022-06-16,Negativo
139,Excelente custo-benefício!,2023-09-25,Neutro
"140,""Atendimento muito bom, parabéns!"",2022-01-12,Neutro"
"141,""Entrega super rápida, adorei!"",2022-11-22,Positivo"
"142,""Péssima qualidade, não recomendo."",2022-02-05,Positivo"
143,Excelente custo-benefício!,2022-06-22,Negativo
"144,""Entrega super rápida, adorei!"",2022-09-03,Neutro"
145,Excelente custo-benefício!,2022-11-10,Neutro
146,Excelente custo-benefício!,2022-06-08,Positivo
147,Excelente custo-benefício!,2022-03-31,Positivo
148,Ótimo produto!,2022-11-28,Neutro
149,Muito satisfeito com a compra.,2023-05-02,Neutro
"150,""Péssima qualidade, não recomendo."",2023-03-27,Positivo"
151,Não gostei do atendimento.,2022-01-10,Negativo
152,Produto veio com defeito.,2023-08-30,Positivo
"153,""Atendimento muito bom, parabéns!"",2023-02-24,Positivo"
"154,""Entrega super rápida, adorei!"",2023-02-14,Neutro"
"155,""Atendimento muito bom, parabéns!"",2022-04-02,Neutro"
"156,""Péssima qualidade, não recomendo."",2022-09-17,Positivo"
157,Não gostei do atendimento.,2023-08-25,Positivo
158,Excelente custo-benefício!,2023-04-15,Positivo
159,Não era o que eu esperava.,2023-06-25,Negativo
160,Ótimo produto!,2023-08-04,Negativo
161,Demorou muito para chegar.,2022-03-13,Neutro
"162,""Entrega super rápida, adorei!"",2022-04-03,Neutro"
163,Demorou muito para chegar.,2022-07-18,Negativo
"164,""Entrega super rápida, adorei!"",2023-12-12,Neutro"
165,Demorou muito para chegar.,2022-08-29,Positivo
"166,""Entrega super rápida, adorei!"",2022-08-28,Neutro"
167,Muito satisfeito com a compra.,2022-10-27,Neutro
168,Excelente custo-benefício!,2023-04-18,Neutro
169,Ótimo produto!,2023-07-29,Negativo
170,Demorou muito para chegar.,2023-06-15,Neutro
"171,""Péssima qualidade, não recomendo."",2023-02-24,Positivo"
172,Demorou muito para chegar.,2022-08-26,Neutro
"173,""Péssima qualidade, não recomendo."",2022-09-19,Neutro"
174,Excelente custo-benefício!,2022-04-05,Positivo
175,Não gostei do atendimento.,2023-03-24,Negativo
"176,""Péssima qualidade, não recomendo."",2022-03-05,Neutro"
177,Não era o que eu esperava.,2023-09-30,Positivo
178,Muito satisfeito com a compra.,2022-12-11,Negativo
179,Não gostei do atendimento.,2023-08-08,Positivo
180,Muito satisfeito com a compra.,2023-10-21,Neutro
181,Não gostei do atendimento.,2022-06-24,Neutro
182,Demorou muito para chegar.,2022-07-04,Negativo
183,Não era o que eu esperava.,2023-01-28,Positivo
184,Não era o que eu esperava.,2023-05-29,Neutro
185,Demorou muito para chegar.,2022-04-04,Negativo
186,Ótimo produto!,2023-02-21,Neutro
"187,""Péssima qualidade, não recomendo."",2023-06-15,Positivo"
188,Demorou muito para chegar.,2022-09-12,Neutro
"189,""Atendimento muito bom, parabéns!"",2022-10-06,Negativo"
190,Ótimo produto!,2023-02-04,Negativo
191,Produto veio com defeito.,2023-06-13,Positivo
192,Não era o que eu esperava.,2023-10-03,Neutro
193,Demorou muito para chegar.,2022-04-11,Negativo
194,Não era o que eu esperava.,2022-11-05,Positivo
"195,""Péssima qualidade, não recomendo."",2023-03-30,Positivo"
196,Não era o que eu esperava.,2023-12-09,Negativo
197,Não era o que eu esperava.,2023-04-09,Negativo
"198,""Atendimento muito bom, parabéns!"",2023-10-30,Neutro"
"199,""Péssima qualidade, não recomendo."",2022-01-07,Negativo"
200,Muito satisfeito com a compra.,2023-09-02,Neutro
201,Não era o que eu esperava.,2023-03-08,Negativo
"202,""Péssima qualidade, não recomendo."",2023-05-11,Neutro"
203,Demorou muito para chegar.,2023-03-26,Positivo
204,Não gostei do atendimento.,2023-11-09,Positivo
"205,""Entrega super rápida, adorei!"",2022-01-07,Positivo"
"206,""Péssima qualidade, não recomendo."",2022-06-15,Positivo"
207,Excelente custo-benefício!,2023-08-17,Neutro
208,Não gostei do atendimento.,2022-07-28,Positivo
"209,""Entrega super rápida, adorei!"",2023-04-12,Negativo"
"210,""Atendimento muito bom, parabéns!"",2023-01-23,Neutro"
211,Produto veio com defeito.,2022-06-10,Negativo
212,Ótimo produto!,2022-05-16,Negativo
213,Não era o que eu esperava.,2023-12-10,Neutro
214,Excelente custo-benefício!,2022-03-25,Positivo
215,Não era o que eu esperava.,2022-02-07,Neutro
"216,""Péssima qualidade, não recomendo."",2022-01-19,Neutro"
"217,""Atendimento muito bom, parabéns!"",2023-05-22,Positivo"
218,Não gostei do atendimento.,2022-10-23,Neutro
219,Excelente custo-benefício!,2023-01-22,Positivo
220,Muito satisfeito com a compra.,2023-02-22,Neutro
221,Não gostei do atendimento.,2022-01-15,Neutro
222,Ótimo produto!,2023-10-14,Positivo
"223,""Péssima qualidade, não recomendo."",2022-06-17,Negativo"
"224,""Entrega super rápida, adorei!"",2022-03-24,Positivo"
225,Produto veio com defeito.,2022-11-29,Negativo
226,Muito satisfeito com a compra.,2022-06-15,Negativo
227,Ótimo produto!,2023-10-04,Negativo
228,Ótimo produto!,2023-07-26,Positivo
229,Produto veio com defeito.,2023-03-07,Neutro
230,Excelente custo-benefício!,2023-06-23,Positivo
231,Ótimo produto!,2023-04-21,Neutro
"232,""Péssima qualidade, não recomendo."",2022-07-10,Negativo"
"233,""Péssima qualidade, não recomendo."",2023-09-22,Negativo"
234,Excelente custo-benefício!,2022-11-28,Neutro
235,Não era o que eu esperava.,2022-06-06,Neutro
"236,""Entrega super rápida, adorei!"",2023-04-22,Positivo"
237,Não gostei do atendimento.,2022-12-25,Positivo
"238,""Entrega super rápida, adorei!"",2023-11-22,Neutro"
239,Excelente custo-benefício!,2023-12-14,Negativo
240,Não era o que eu esperava.,2023-12-15,Negativo
241,Não gostei do atendimento.,2022-06-01,Positivo
"242,""Péssima qualidade, não recomendo."",2023-06-07,Negativo"
243,Não gostei do atendimento.,2023-02-06,Neutro
244,Demorou muito para chegar.,2022-04-28,Neutro
245,Produto veio com defeito.,2022-05-11,Negativo
246,Muito satisfeito com a compra.,2022-11-26,Negativo
247,Muito satisfeito com a compra.,2023-10-13,Negativo
248,Não gostei do atendimento.,2022-02-27,Positivo
"249,""Entrega super rápida, adorei!"",2022-11-03,Negativo"
250,Muito satisfeito com a compra.,2022-04-23,Neutro
"251,""Atendimento muito bom, parabéns!"",2023-07-01,Neutro"
252,Produto veio com defeito.,2022-01-10,Neutro
253,Demorou muito para chegar.,2023-08-06,Neutro
"254,""Atendimento muito bom, parabéns!"",2023-09-03,Positivo"
255,Produto veio com defeito.,2022-06-09,Neutro
256,Demorou muito para chegar.,2023-08-12,Neutro
"257,""Entrega super rápida, adorei!"",2023-05-10,Negativo"
258,Não era o que eu esperava.,2022-06-28,Positivo
259,Excelente custo-benefício!,2022-06-11,Neutro
260,Ótimo produto!,2023-07-10,Negativo
261,Excelente custo-benefício!,2022-06-16,Negativo
"262,""Atendimento muito bom, parabéns!"",2023-08-27,Negativo"
263,Demorou muito para chegar.,2022-08-14,Negativo
264,Não gostei do atendimento.,2022-12-24,Neutro
265,Excelente custo-benefício!,2022-05-21,Neutro
266,Demorou muito para chegar.,2023-11-23,Negativo
267,Excelente custo-benefício!,2022-03-14,Positivo
268,Não gostei do atendimento.,2022-10-21,Neutro
269,Não gostei do atendimento.,2022-08-08,Positivo
270,Excelente custo-benefício!,2023-03-09,Neutro
271,Não era o que eu esperava.,2023-11-07,Neutro
"272,""Entrega super rápida, adorei!"",2022-06-12,Neutro"
"273,""Atendimento muito bom, parabéns!"",2022-01-13,Positivo"
274,Demorou muito para chegar.,2023-07-05,Negativo
275,Produto veio com defeito.,2022-11-21,Negativo
276,Não gostei do atendimento.,2023-12-15,Positivo
"277,""Atendimento muito bom, parabéns!"",2022-03-09,Positivo"
278,Produto veio com defeito.,2023-05-19,Neutro
279,Muito satisfeito com a compra.,2023-01-18,Negativo
280,Demorou muito para chegar.,2023-02-23,Positivo
281,Ótimo produto!,2022-10-17,Negativo
"282,""Entrega super rápida, adorei!"",2023-08-09,Neutro"
"283,""Entrega super rápida, adorei!"",2022-05-05,Negativo"
284,Muito satisfeito com a compra.,2022-09-26,Neutro
285,Excelente custo-benefício!,2022-09-07,Negativo
286,Ótimo produto!,2023-05-13,Negativo
287,Não gostei do atendimento.,2022-10-15,Neutro
288,Demorou muito para chegar.,2023-01-10,Positivo
289,Excelente custo-benefício!,2022-06-05,Neutro
290,Excelente custo-benefício!,2022-01-25,Neutro
"291,""Péssima qualidade, não recomendo."",2023-01-28,Negativo"
292,Produto veio com defeito.,2023-12-10,Positivo
"293,""Péssima qualidade, não recomendo."",2023-06-21,Neutro"
"294,""Péssima qualidade, não recomendo."",2022-07-24,Negativo"
"295,""Entrega super rápida, adorei!"",2023-02-20,Neutro"
"296,""Entrega super rápida, adorei!"",2022-07-20,Neutro"
297,Não era o que eu esperava.,2022-05-26,Neutro
298,Não era o que eu esperava.,2022-09-29,Positivo
299,Produto veio com defeito.,2022-07-03,Neutro
"300,""Péssima qualidade, não recomendo."",2022-03-16,Negativo"
301,Muito satisfeito com a compra.,2022-05-15,Positivo
302,Não era o que eu esperava.,2022-01-11,Neutro
303,Demorou muito para chegar.,2023-02-24,Positivo
304,Muito satisfeito com a compra.,2023-01-07,Positivo
305,Não gostei do atendimento.,2022-09-15,Neutro
"306,""Péssima qualidade, não recomendo."",2022-04-10,Positivo"
"307,""Atendimento muito bom, parabéns!"",2022-03-16,Negativo"
"308,""Atendimento muito bom, parabéns!"",2022-10-03,Positivo"
309,Produto veio com defeito.,2022-11-20,Neutro
"310,""Péssima qualidade, não recomendo."",2023-08-08,Positivo"
311,Não era o que eu esperava.,2022-05-05,Positivo
"312,""Péssima qualidade, não recomendo."",2022-06-07,Positivo"
313,Produto veio com defeito.,2023-02-22,Negativo
314,Muito satisfeito com a compra.,2023-09-21,Positivo
315,Produto veio com defeito.,2023-04-05,Positivo
316,Ótimo produto!,2023-05-16,Neutro
317,Excelente custo-benefício!,2023-01-02,Positivo
"318,""Entrega super rápida, adorei!"",2022-03-15,Neutro"
"319,""Péssima qualidade, não recomendo."",2023-11-25,Neutro"
320,Não gostei do atendimento.,2023-12-30,Negativo
321,Demorou muito para chegar.,2022-04-27,Positivo
"322,""Entrega super rápida, adorei!"",2023-06-29,Negativo"
"323,""Entrega super rápida, adorei!"",2022-12-01,Neutro"
"324,""Entrega super rápida, adorei!"",2023-12-12,Neutro"
325,Demorou muito para chegar.,2023-07-14,Positivo
"326,""Entrega super rápida, adorei!"",2023-09-01,Neutro"
"327,""Péssima qualidade, não recomendo."",2023-05-14,Positivo"
328,Demorou muito para chegar.,2022-05-07,Neutro
"329,""Entrega super rápida, adorei!"",2022-10-10,Negativo"
330,Demorou muito para chegar.,2022-11-17,Negativo
331,Não gostei do atendimento.,2022-05-22,Neutro
332,Não gostei do atendimento.,2023-09-21,Positivo
"333,""Péssima qualidade, não recomendo."",2023-10-20,Negativo"
334,Ótimo produto!,2022-06-23,Positivo
"335,""Atendimento muito bom, parabéns!"",2023-11-22,Positivo"
336,Muito satisfeito com a compra.,2022-07-26,Negativo
337,Excelente custo-benefício!,2023-07-05,Negativo
338,Excelente custo-benefício!,2022-09-10,Positivo
"339,""Atendimento muito bom, parabéns!"",2022-08-30,Neutro"
340,Ótimo produto!,2022-01-08,Positivo
341,Não gostei do atendimento.,2022-06-08,Neutro
342,Produto veio com defeito.,2023-12-28,Positivo
343,Não era o que eu esperava.,2023-05-16,Negativo
"344,""Entrega super rápida, adorei!"",2022-04-11,Negativo"
345,Produto veio com defeito.,2022-08-01,Negativo
346,Excelente custo-benefício!,2022-01-04,Negativo
"347,""Atendimento muito bom, parabéns!"",2022-09-23,Neutro"
"348,""Péssima qualidade, não recomendo."",2023-05-29,Neutro"
349,Demorou muito para chegar.,2022-08-28,Neutro
350,Muito satisfeito com a compra.,2022-04-06,Negativo
351,Ótimo produto!,2023-10-29,Positivo
"352,""Péssima qualidade, não recomendo."",2023-02-23,Negativo"
353,Não gostei do atendimento.,2022-12-31,Negativo
354,Não gostei do atendimento.,2022-05-18,Positivo
355,Muito satisfeito com a compra.,2023-07-28,Negativo
"356,""Péssima qualidade, não recomendo."",2022-08-16,Positivo"
357,Muito satisfeito com a compra.,2022-02-04,Positivo
358,Demorou muito para chegar.,2022-03-27,Neutro
"359,""Péssima qualidade, não recomendo."",2023-03-27,Positivo"
360,Produto veio com defeito.,2022-08-31,Neutro
"361,""Atendimento muito bom, parabéns!"",2022-10-08,Negativo"
"362,""Entrega super rápida, adorei!"",2022-03-25,Positivo"
363,Muito satisfeito com a compra.,2023-08-28,Negativo
"364,""Péssima qualidade, não recomendo."",2022-12-11,Negativo"
365,Não era o que eu esperava.,2022-05-25,Positivo
366,Excelente custo-benefício!,2023-08-25,Negativo
367,Demorou muito para chegar.,2023-05-21,Neutro
368,Ótimo produto!,2023-10-03,Neutro
369,Não gostei do atendimento.,2023-08-26,Negativo
"370,""Atendimento muito bom, parabéns!"",2023-08-18,Neutro"
"371,""Atendimento muito bom, parabéns!"",2023-03-05,Positivo"
"372,""Atendimento muito bom, parabéns!"",2022-06-11,Positivo"
"373,""Entrega super rápida, adorei!"",2022-04-09,Negativo"
374,Não gostei do atendimento.,2022-09-30,Positivo
375,Muito satisfeito com a compra.,2022-06-02,Positivo
376,Não era o que eu esperava.,2023-08-06,Negativo
377,Não era o que eu esperava.,2023-10-28,Negativo
"378,""Entrega super rápida, adorei!"",2022-06-07,Negativo"
"379,""Péssima qualidade, não recomendo."",2023-07-01,Positivo"
380,Produto veio com defeito.,2023-03-27,Negativo
381,Não era o que eu esperava.,2022-08-24,Negativo
382,Não era o que eu esperava.,2023-12-15,Positivo
383,Excelente custo-benefício!,2023-01-14,Negativo
"384,""Atendimento muito bom, parabéns!"",2022-08-12,Positivo"
"385,""Entrega super rápida, adorei!"",2022-07-30,Positivo"
386,Não gostei do atendimento.,2022-10-19,Neutro
"387,""Péssima qualidade, não recomendo."",2022-05-31,Negativo"
"388,""Atendimento muito bom, parabéns!"",2023-11-12,Neutro"
389,Muito satisfeito com a compra.,2023-10-02,Neutro
"390,""Entrega super rápida, adorei!"",2022-03-01,Positivo"
391,Produto veio com defeito.,2022-01-29,Negativo
392,Ótimo produto!,2023-04-23,Negativo
"393,""Atendimento muito bom, parabéns!"",2023-08-07,Negativo"
394,Não gostei do atendimento.,2022-05-05,Positivo
395,Não era o que eu esperava.,2022-11-04,Neutro
396,Não gostei do atendimento.,2022-04-08,Neutro
"397,""Entrega super rápida, adorei!"",2023-08-31,Neutro"
398,Excelente custo-benefício!,2022-08-07,Negativo
399,Demorou muito para chegar.,2022-11-22,Positivo
"400,""Péssima qualidade, não recomendo."",2023-03-22,Neutro"
"401,""Entrega super rápida, adorei!"",2023-10-03,Positivo"
"402,""Péssima qualidade, não recomendo."",2022-02-11,Negativo"
403,Não gostei do atendimento.,2022-07-14,Neutro
404,Produto veio com defeito.,2022-11-22,Negativo
405,Produto veio com defeito.,2022-06-21,Negativo
"406,""Péssima qualidade, não recomendo."",2022-12-24,Positivo"
407,Excelente custo-benefício!,2022-09-27,Positivo
408,Demorou muito para chegar.,2022-10-16,Positivo
409,Produto veio com defeito.,2022-01-05,Negativo
410,Excelente custo-benefício!,2023-06-23,Positivo
411,Excelente custo-benefício!,2022-10-01,Negativo
412,Ótimo produto!,2022-03-26,Neutro
413,Muito satisfeito com a compra.,2022-11-15,Negativo
414,Produto veio com defeito.,2022-05-11,Positivo
415,Muito satisfeito com a compra.,2022-12-29,Negativo
416,Não era o que eu esperava.,2023-11-07,Neutro
"417,""Atendimento muito bom, parabéns!"",2023-12-11,Negativo"
418,Excelente custo-benefício!,2022-09-30,Positivo
"419,""Atendimento muito bom, parabéns!"",2023-10-07,Neutro"
"420,""Atendimento muito bom, parabéns!"",2022-01-01,Negativo"
421,Ótimo produto!,2023-08-04,Neutro
422,Não era o que eu esperava.,2023-02-21,Neutro
423,Ótimo produto!,2022-06-13,Positivo
"424,""Atendimento muito bom, parabéns!"",2023-08-16,Positivo"
425,Não era o que eu esperava.,2023-10-27,Negativo
426,Ótimo produto!,2023-12-07,Neutro
427,Ótimo produto!,2022-01-09,Positivo
428,Produto veio com defeito.,2022-08-18,Negativo
429,Não gostei do atendimento.,2023-04-20,Neutro
"430,""Entrega super rápida, adorei!"",2023-03-08,Neutro"
"431,""Péssima qualidade, não recomendo."",2022-04-27,Neutro"
"432,""Entrega super rápida, adorei!"",2023-01-24,Positivo"
433,Demorou muito para chegar.,2022-11-30,Negativo
434,Não era o que eu esperava.,2023-04-21,Negativo
"435,""Entrega super rápida, adorei!"",2022-12-29,Positivo"
436,Demorou muito para chegar.,2023-01-28,Negativo
437,Excelente custo-benefício!,2023-08-18,Negativo
438,Produto veio com defeito.,2023-01-23,Negativo
439,Excelente custo-benefício!,2022-10-11,Neutro
440,Excelente custo-benefício!,2023-01-16,Positivo
441,Ótimo produto!,2022-10-08,Negativo
442,Demorou muito para chegar.,2022-12-19,Neutro
"443,""Entrega super rápida, adorei!"",2022-07-23,Positivo"
444,Não gostei do atendimento.,2023-08-26,Negativo
445,Produto veio com defeito.,2022-05-06,Positivo
446,Muito satisfeito com a compra.,2022-07-07,Positivo
447,Excelente custo-benefício!,2022-09-01,Negativo
"448,""Atendimento muito bom, parabéns!"",2023-05-15,Negativo"
449,Não gostei do atendimento.,2022-08-07,Negativo
"450,""Péssima qualidade, não recomendo."",2023-05-30,Negativo"
451,Demorou muito para chegar.,2023-02-03,Positivo
"452,""Péssima qualidade, não recomendo."",2023-12-19,Positivo"
453,Produto veio com defeito.,2022-03-20,Negativo
454,Demorou muito para chegar.,2022-11-07,Neutro
455,Muito satisfeito com a compra.,2022-10-21,Positivo
456,Produto veio com defeito.,2023-11-07,Neutro
457,Não era o que eu esperava.,2022-11-18,Positivo
458,Ótimo produto!,2023-03-10,Positivo
459,Produto veio com defeito.,2022-10-10,Negativo
460,Ótimo produto!,2023-02-08,Positivo
"461,""Entrega super rápida, adorei!"",2023-08-17,Positivo"
"462,""Atendimento muito bom, parabéns!"",2022-03-24,Neutro"
463,Excelente custo-benefício!,2022-07-04,Neutro
464,Demorou muito para chegar.,2022-07-26,Positivo
465,Não era o que eu esperava.,2023-03-08,Negativo
466,Não gostei do atendimento.,2022-01-31,Positivo
467,Demorou muito para chegar.,2023-05-04,Negativo
468,Demorou muito para chegar.,2023-07-02,Neutro
469,Ótimo produto!,2023-09-15,Neutro
470,Ótimo produto!,2023-04-09,Neutro
471,Excelente custo-benefício!,2022-12-31,Negativo
472,Muito satisfeito com a compra.,2022-12-22,Positivo
"473,""Atendimento muito bom, parabéns!"",2022-07-11,Positivo"
474,Demorou muito para chegar.,2022-08-11,Negativo
475,Produto veio com defeito.,2023-01-16,Positivo
"476,""Atendimento muito bom, parabéns!"",2023-11-06,Neutro"
477,Ótimo produto!,2023-08-05,Positivo
478,Não gostei do atendimento.,2023-04-30,Negativo
479,Não era o que eu esperava.,2022-01-10,Positivo
480,Ótimo produto!,2023-12-29,Positivo
"481,""Entrega super rápida, adorei!"",2023-10-29,Neutro"
"482,""Péssima qualidade, não recomendo."",2023-04-12,Negativo"
"483,""Péssima qualidade, não recomendo."",2022-11-30,Positivo"
484,Demorou muito para chegar.,2022-02-25,Positivo
485,Não era o que eu esperava.,2022-09-27,Negativo
486,Excelente custo-benefício!,2022-07-09,Positivo
"487,""Péssima qualidade, não recomendo."",2022-11-28,Neutro"
488,Ótimo produto!,2022-04-10,Neutro
489,Excelente custo-benefício!,2023-12-04,Neutro
490,Produto veio com defeito.,2022-10-08,Neutro
491,Ótimo produto!,2023-05-16,Positivo
492,Excelente custo-benefício!,2023-04-28,Negativo
493,Não era o que eu esperava.,2023-01-01,Negativo
"494,""Entrega super rápida, adorei!"",2023-05-28,Neutro"
"495,""Atendimento muito bom, parabéns!"",2022-02-01,Positivo"
