ID_Comentario;Texto;Data;Classificacao;Sentimento
90;Excelente custo-benefício!;2023-12-15;Neutro;0.0
91;Péssima qualidade, não recomendo.;2023-08-07;Neutro;0.0
92;Excelente custo-benefício!;2023-08-18;Neutro;0.0
93;Excelente custo-benefício!;2023-11-26;Neutro;0.0
94;Muito satisfeito com a compra.;2022-05-03;Neutro;0.0
95;Produto veio com defeito.;2023-02-20;Neutro;0.0
96;Péssima qualidade, não recomendo.;2023-08-25;Neutro;0.0
97;Não era o que eu esperava.;2022-08-17;Neutro;0.0
98;Entrega super rápida, adorei!;2022-03-15;Positivo;0.41666666666666663
99;Não gostei do atendimento.;2022-03-01;Neutro;0.0
100;Não era o que eu esperava.;2022-11-27;Neutro;0.0
101;Entrega super rápida, adorei!;2023-11-10;Positivo;0.41666666666666663
102;Excelente custo-benefício!;2022-06-29;Neutro;0.0
103;Ótimo produto!;2022-02-28;Neutro;0.0
104;Não era o que eu esperava.;2023-09-27;Neutro;0.0
105;Entrega super rápida, adorei!;2023-10-28;Positivo;0.41666666666666663
106;Não era o que eu esperava.;2023-12-03;Neutro;0.0
107;Demorou muito para chegar.;2023-07-07;Neutro;0.0
108;Produto veio com defeito.;2023-07-10;Neutro;0.0
109;Não era o que eu esperava.;2022-04-24;Neutro;0.0
110;Ótimo produto!;2023-11-10;Neutro;0.0
111;Atendimento muito bom, parabéns!;2023-10-17;Neutro;0.0
112;Péssima qualidade, não recomendo.;2022-02-05;Neutro;0.0
113;Ótimo produto!;2022-06-11;Neutro;0.0
114;Não gostei do atendimento.;2022-09-28;Neutro;0.0
115;Atendimento muito bom, parabéns!;2023-09-28;Neutro;0.0
116;Produto veio com defeito.;2023-10-03;Neutro;0.0
117;Muito satisfeito com a compra.;2023-06-12;Neutro;0.0
118;Atendimento muito bom, parabéns!;2022-05-09;Neutro;0.0
119;Atendimento muito bom, parabéns!;2023-06-25;Neutro;0.0
120;Não era o que eu esperava.;2023-10-29;Neutro;0.0
121;Ótimo produto!;2023-07-12;Neutro;0.0
122;Não era o que eu esperava.;2022-11-12;Neutro;0.0
123;Muito satisfeito com a compra.;2023-02-14;Neutro;0.0
124;Péssima qualidade, não recomendo.;2022-05-01;Neutro;0.0
125;Atendimento muito bom, parabéns!;2022-12-17;Neutro;0.0
126;Ótimo produto!;2022-07-05;Neutro;0.0
127;Muito satisfeito com a compra.;2023-05-20;Neutro;0.0
128;Atendimento muito bom, parabéns!;2023-03-25;Neutro;0.0
129;Ótimo produto!;2023-09-28;Neutro;0.0
130;Entrega super rápida, adorei!;2022-08-29;Positivo;0.41666666666666663
131;Excelente custo-benefício!;2023-01-09;Neutro;0.0
132;Não gostei do atendimento.;2023-11-10;Neutro;0.0
133;Excelente custo-benefício!;2023-09-25;Neutro;0.0
134;Péssima qualidade, não recomendo.;2023-06-12;Neutro;0.0
135;Não era o que eu esperava.;2022-07-19;Neutro;0.0
136;Excelente custo-benefício!;2023-12-18;Neutro;0.0
137;Produto veio com defeito.;2023-11-27;Neutro;0.0
138;Ótimo produto!;2022-06-16;Neutro;0.0
139;Excelente custo-benefício!;2023-09-25;Neutro;0.0
140;Atendimento muito bom, parabéns!;2022-01-12;Neutro;0.0
141;Entrega super rápida, adorei!;2022-11-22;Positivo;0.41666666666666663
142;Péssima qualidade, não recomendo.;2022-02-05;Neutro;0.0
143;Excelente custo-benefício!;2022-06-22;Neutro;0.0
144;Entrega super rápida, adorei!;2022-09-03;Positivo;0.41666666666666663
145;Excelente custo-benefício!;2022-11-10;Neutro;0.0
146;Excelente custo-benefício!;2022-06-08;Neutro;0.0
147;Excelente custo-benefício!;2022-03-31;Neutro;0.0
148;Ótimo produto!;2022-11-28;Neutro;0.0
149;Muito satisfeito com a compra.;2023-05-02;Neutro;0.0
150;Péssima qualidade, não recomendo.;2023-03-27;Neutro;0.0
151;Não gostei do atendimento.;2022-01-10;Neutro;0.0
152;Produto veio com defeito.;2023-08-30;Neutro;0.0
153;Atendimento muito bom, parabéns!;2023-02-24;Neutro;0.0
154;Entrega super rápida, adorei!;2023-02-14;Positivo;0.41666666666666663
155;Atendimento muito bom, parabéns!;2022-04-02;Neutro;0.0
156;Péssima qualidade, não recomendo.;2022-09-17;Neutro;0.0
157;Não gostei do atendimento.;2023-08-25;Neutro;0.0
158;Excelente custo-benefício!;2023-04-15;Neutro;0.0
159;Não era o que eu esperava.;2023-06-25;Neutro;0.0
160;Ótimo produto!;2023-08-04;Neutro;0.0
161;Demorou muito para chegar.;2022-03-13;Neutro;0.0
162;Entrega super rápida, adorei!;2022-04-03;Positivo;0.41666666666666663
163;Demorou muito para chegar.;2022-07-18;Neutro;0.0
164;Entrega super rápida, adorei!;2023-12-12;Positivo;0.41666666666666663
165;Demorou muito para chegar.;2022-08-29;Neutro;0.0
166;Entrega super rápida, adorei!;2022-08-28;Positivo;0.41666666666666663
167;Muito satisfeito com a compra.;2022-10-27;Neutro;0.0
168;Excelente custo-benefício!;2023-04-18;Neutro;0.0
169;Ótimo produto!;2023-07-29;Neutro;0.0
170;Demorou muito para chegar.;2023-06-15;Neutro;0.0
171;Péssima qualidade, não recomendo.;2023-02-24;Neutro;0.0
172;Demorou muito para chegar.;2022-08-26;Neutro;0.0
173;Péssima qualidade, não recomendo.;2022-09-19;Neutro;0.0
174;Excelente custo-benefício!;2022-04-05;Neutro;0.0
175;Não gostei do atendimento.;2023-03-24;Neutro;0.0
176;Péssima qualidade, não recomendo.;2022-03-05;Neutro;0.0
177;Não era o que eu esperava.;2023-09-30;Neutro;0.0
178;Muito satisfeito com a compra.;2022-12-11;Neutro;0.0
179;Não gostei do atendimento.;2023-08-08;Neutro;0.0
180;Muito satisfeito com a compra.;2023-10-21;Neutro;0.0
181;Não gostei do atendimento.;2022-06-24;Neutro;0.0
182;Demorou muito para chegar.;2022-07-04;Neutro;0.0
183;Não era o que eu esperava.;2023-01-28;Neutro;0.0
184;Não era o que eu esperava.;2023-05-29;Neutro;0.0
185;Demorou muito para chegar.;2022-04-04;Neutro;0.0
186;Ótimo produto!;2023-02-21;Neutro;0.0
187;Péssima qualidade, não recomendo.;2023-06-15;Neutro;0.0
188;Demorou muito para chegar.;2022-09-12;Neutro;0.0
189;Atendimento muito bom, parabéns!;2022-10-06;Neutro;0.0
190;Ótimo produto!;2023-02-04;Neutro;0.0
191;Produto veio com defeito.;2023-06-13;Neutro;0.0
192;Não era o que eu esperava.;2023-10-03;Neutro;0.0
193;Demorou muito para chegar.;2022-04-11;Neutro;0.0
194;Não era o que eu esperava.;2022-11-05;Neutro;0.0
195;Péssima qualidade, não recomendo.;2023-03-30;Neutro;0.0
196;Não era o que eu esperava.;2023-12-09;Neutro;0.0
197;Não era o que eu esperava.;2023-04-09;Neutro;0.0
198;Atendimento muito bom, parabéns!;2023-10-30;Neutro;0.0
199;Péssima qualidade, não recomendo.;2022-01-07;Neutro;0.0
200;Muito satisfeito com a compra.;2023-09-02;Neutro;0.0
201;Não era o que eu esperava.;2023-03-08;Neutro;0.0
202;Péssima qualidade, não recomendo.;2023-05-11;Neutro;0.0
203;Demorou muito para chegar.;2023-03-26;Neutro;0.0
204;Não gostei do atendimento.;2023-11-09;Neutro;0.0
205;Entrega super rápida, adorei!;2022-01-07;Positivo;0.41666666666666663
206;Péssima qualidade, não recomendo.;2022-06-15;Neutro;0.0
207;Excelente custo-benefício!;2023-08-17;Neutro;0.0
208;Não gostei do atendimento.;2022-07-28;Neutro;0.0
209;Entrega super rápida, adorei!;2023-04-12;Positivo;0.41666666666666663
210;Atendimento muito bom, parabéns!;2023-01-23;Neutro;0.0
211;Produto veio com defeito.;2022-06-10;Neutro;0.0
212;Ótimo produto!;2022-05-16;Neutro;0.0
213;Não era o que eu esperava.;2023-12-10;Neutro;0.0
214;Excelente custo-benefício!;2022-03-25;Neutro;0.0
215;Não era o que eu esperava.;2022-02-07;Neutro;0.0
216;Péssima qualidade, não recomendo.;2022-01-19;Neutro;0.0
217;Atendimento muito bom, parabéns!;2023-05-22;Neutro;0.0
218;Não gostei do atendimento.;2022-10-23;Neutro;0.0
219;Excelente custo-benefício!;2023-01-22;Neutro;0.0
220;Muito satisfeito com a compra.;2023-02-22;Neutro;0.0
221;Não gostei do atendimento.;2022-01-15;Neutro;0.0
222;Ótimo produto!;2023-10-14;Neutro;0.0
223;Péssima qualidade, não recomendo.;2022-06-17;Neutro;0.0
224;Entrega super rápida, adorei!;2022-03-24;Positivo;0.41666666666666663
225;Produto veio com defeito.;2022-11-29;Neutro;0.0
226;Muito satisfeito com a compra.;2022-06-15;Neutro;0.0
227;Ótimo produto!;2023-10-04;Neutro;0.0
228;Ótimo produto!;2023-07-26;Neutro;0.0
229;Produto veio com defeito.;2023-03-07;Neutro;0.0
230;Excelente custo-benefício!;2023-06-23;Neutro;0.0
231;Ótimo produto!;2023-04-21;Neutro;0.0
232;Péssima qualidade, não recomendo.;2022-07-10;Neutro;0.0
233;Péssima qualidade, não recomendo.;2023-09-22;Neutro;0.0
234;Excelente custo-benefício!;2022-11-28;Neutro;0.0
235;Não era o que eu esperava.;2022-06-06;Neutro;0.0
236;Entrega super rápida, adorei!;2023-04-22;Positivo;0.41666666666666663
237;Não gostei do atendimento.;2022-12-25;Neutro;0.0
238;Entrega super rápida, adorei!;2023-11-22;Positivo;0.41666666666666663
239;Excelente custo-benefício!;2023-12-14;Neutro;0.0
240;Não era o que eu esperava.;2023-12-15;Neutro;0.0
241;Não gostei do atendimento.;2022-06-01;Neutro;0.0
242;Péssima qualidade, não recomendo.;2023-06-07;Neutro;0.0
243;Não gostei do atendimento.;2023-02-06;Neutro;0.0
244;Demorou muito para chegar.;2022-04-28;Neutro;0.0
245;Produto veio com defeito.;2022-05-11;Neutro;0.0
246;Muito satisfeito com a compra.;2022-11-26;Neutro;0.0
247;Muito satisfeito com a compra.;2023-10-13;Neutro;0.0
248;Não gostei do atendimento.;2022-02-27;Neutro;0.0
249;Entrega super rápida, adorei!;2022-11-03;Positivo;0.41666666666666663
250;Muito satisfeito com a compra.;2022-04-23;Neutro;0.0
251;Atendimento muito bom, parabéns!;2023-07-01;Neutro;0.0
252;Produto veio com defeito.;2022-01-10;Neutro;0.0
253;Demorou muito para chegar.;2023-08-06;Neutro;0.0
254;Atendimento muito bom, parabéns!;2023-09-03;Neutro;0.0
255;Produto veio com defeito.;2022-06-09;Neutro;0.0
256;Demorou muito para chegar.;2023-08-12;Neutro;0.0
257;Entrega super rápida, adorei!;2023-05-10;Positivo;0.41666666666666663
258;Não era o que eu esperava.;2022-06-28;Neutro;0.0
259;Excelente custo-benefício!;2022-06-11;Neutro;0.0
260;Ótimo produto!;2023-07-10;Neutro;0.0
261;Excelente custo-benefício!;2022-06-16;Neutro;0.0
262;Atendimento muito bom, parabéns!;2023-08-27;Neutro;0.0
263;Demorou muito para chegar.;2022-08-14;Neutro;0.0
264;Não gostei do atendimento.;2022-12-24;Neutro;0.0
265;Excelente custo-benefício!;2022-05-21;Neutro;0.0
266;Demorou muito para chegar.;2023-11-23;Neutro;0.0
267;Excelente custo-benefício!;2022-03-14;Neutro;0.0
268;Não gostei do atendimento.;2022-10-21;Neutro;0.0
269;Não gostei do atendimento.;2022-08-08;Neutro;0.0
270;Excelente custo-benefício!;2023-03-09;Neutro;0.0
271;Não era o que eu esperava.;2023-11-07;Neutro;0.0
272;Entrega super rápida, adorei!;2022-06-12;Positivo;0.41666666666666663
273;Atendimento muito bom, parabéns!;2022-01-13;Neutro;0.0
274;Demorou muito para chegar.;2023-07-05;Neutro;0.0
275;Produto veio com defeito.;2022-11-21;Neutro;0.0
276;Não gostei do atendimento.;2023-12-15;Neutro;0.0
277;Atendimento muito bom, parabéns!;2022-03-09;Neutro;0.0
278;Produto veio com defeito.;2023-05-19;Neutro;0.0
279;Muito satisfeito com a compra.;2023-01-18;Neutro;0.0
280;Demorou muito para chegar.;2023-02-23;Neutro;0.0
281;Ótimo produto!;2022-10-17;Neutro;0.0
282;Entrega super rápida, adorei!;2023-08-09;Positivo;0.41666666666666663
283;Entrega super rápida, adorei!;2022-05-05;Positivo;0.41666666666666663
284;Muito satisfeito com a compra.;2022-09-26;Neutro;0.0
285;Excelente custo-benefício!;2022-09-07;Neutro;0.0
286;Ótimo produto!;2023-05-13;Neutro;0.0
287;Não gostei do atendimento.;2022-10-15;Neutro;0.0
288;Demorou muito para chegar.;2023-01-10;Neutro;0.0
289;Excelente custo-benefício!;2022-06-05;Neutro;0.0
290;Excelente custo-benefício!;2022-01-25;Neutro;0.0
291;Péssima qualidade, não recomendo.;2023-01-28;Neutro;0.0
292;Produto veio com defeito.;2023-12-10;Neutro;0.0
293;Péssima qualidade, não recomendo.;2023-06-21;Neutro;0.0
294;Péssima qualidade, não recomendo.;2022-07-24;Neutro;0.0
295;Entrega super rápida, adorei!;2023-02-20;Positivo;0.41666666666666663
296;Entrega super rápida, adorei!;2022-07-20;Positivo;0.41666666666666663
297;Não era o que eu esperava.;2022-05-26;Neutro;0.0
298;Não era o que eu esperava.;2022-09-29;Neutro;0.0
299;Produto veio com defeito.;2022-07-03;Neutro;0.0
300;Péssima qualidade, não recomendo.;2022-03-16;Neutro;0.0
301;Muito satisfeito com a compra.;2022-05-15;Neutro;0.0
302;Não era o que eu esperava.;2022-01-11;Neutro;0.0
303;Demorou muito para chegar.;2023-02-24;Neutro;0.0
304;Muito satisfeito com a compra.;2023-01-07;Neutro;0.0
305;Não gostei do atendimento.;2022-09-15;Neutro;0.0
306;Péssima qualidade, não recomendo.;2022-04-10;Neutro;0.0
307;Atendimento muito bom, parabéns!;2022-03-16;Neutro;0.0
308;Atendimento muito bom, parabéns!;2022-10-03;Neutro;0.0
309;Produto veio com defeito.;2022-11-20;Neutro;0.0
310;Péssima qualidade, não recomendo.;2023-08-08;Neutro;0.0
311;Não era o que eu esperava.;2022-05-05;Neutro;0.0
312;Péssima qualidade, não recomendo.;2022-06-07;Neutro;0.0
313;Produto veio com defeito.;2023-02-22;Neutro;0.0
314;Muito satisfeito com a compra.;2023-09-21;Neutro;0.0
315;Produto veio com defeito.;2023-04-05;Neutro;0.0
316;Ótimo produto!;2023-05-16;Neutro;0.0
317;Excelente custo-benefício!;2023-01-02;Neutro;0.0
318;Entrega super rápida, adorei!;2022-03-15;Positivo;0.41666666666666663
319;Péssima qualidade, não recomendo.;2023-11-25;Neutro;0.0
320;Não gostei do atendimento.;2023-12-30;Neutro;0.0
321;Demorou muito para chegar.;2022-04-27;Neutro;0.0
322;Entrega super rápida, adorei!;2023-06-29;Positivo;0.41666666666666663
323;Entrega super rápida, adorei!;2022-12-01;Positivo;0.41666666666666663
324;Entrega super rápida, adorei!;2023-12-12;Positivo;0.41666666666666663
325;Demorou muito para chegar.;2023-07-14;Neutro;0.0
326;Entrega super rápida, adorei!;2023-09-01;Positivo;0.41666666666666663
327;Péssima qualidade, não recomendo.;2023-05-14;Neutro;0.0
328;Demorou muito para chegar.;2022-05-07;Neutro;0.0
329;Entrega super rápida, adorei!;2022-10-10;Positivo;0.41666666666666663
330;Demorou muito para chegar.;2022-11-17;Neutro;0.0
331;Não gostei do atendimento.;2022-05-22;Neutro;0.0
332;Não gostei do atendimento.;2023-09-21;Neutro;0.0
333;Péssima qualidade, não recomendo.;2023-10-20;Neutro;0.0
334;Ótimo produto!;2022-06-23;Neutro;0.0
335;Atendimento muito bom, parabéns!;2023-11-22;Neutro;0.0
336;Muito satisfeito com a compra.;2022-07-26;Neutro;0.0
337;Excelente custo-benefício!;2023-07-05;Neutro;0.0
338;Excelente custo-benefício!;2022-09-10;Neutro;0.0
339;Atendimento muito bom, parabéns!;2022-08-30;Neutro;0.0
340;Ótimo produto!;2022-01-08;Neutro;0.0
341;Não gostei do atendimento.;2022-06-08;Neutro;0.0
342;Produto veio com defeito.;2023-12-28;Neutro;0.0
343;Não era o que eu esperava.;2023-05-16;Neutro;0.0
344;Entrega super rápida, adorei!;2022-04-11;Positivo;0.41666666666666663
345;Produto veio com defeito.;2022-08-01;Neutro;0.0
346;Excelente custo-benefício!;2022-01-04;Neutro;0.0
347;Atendimento muito bom, parabéns!;2022-09-23;Neutro;0.0
348;Péssima qualidade, não recomendo.;2023-05-29;Neutro;0.0
349;Demorou muito para chegar.;2022-08-28;Neutro;0.0
350;Muito satisfeito com a compra.;2022-04-06;Neutro;0.0
351;Ótimo produto!;2023-10-29;Neutro;0.0
352;Péssima qualidade, não recomendo.;2023-02-23;Neutro;0.0
353;Não gostei do atendimento.;2022-12-31;Neutro;0.0
354;Não gostei do atendimento.;2022-05-18;Neutro;0.0
355;Muito satisfeito com a compra.;2023-07-28;Neutro;0.0
356;Péssima qualidade, não recomendo.;2022-08-16;Neutro;0.0
357;Muito satisfeito com a compra.;2022-02-04;Neutro;0.0
358;Demorou muito para chegar.;2022-03-27;Neutro;0.0
359;Péssima qualidade, não recomendo.;2023-03-27;Neutro;0.0
360;Produto veio com defeito.;2022-08-31;Neutro;0.0
361;Atendimento muito bom, parabéns!;2022-10-08;Neutro;0.0
362;Entrega super rápida, adorei!;2022-03-25;Positivo;0.41666666666666663
363;Muito satisfeito com a compra.;2023-08-28;Neutro;0.0
364;Péssima qualidade, não recomendo.;2022-12-11;Neutro;0.0
365;Não era o que eu esperava.;2022-05-25;Neutro;0.0
366;Excelente custo-benefício!;2023-08-25;Neutro;0.0
367;Demorou muito para chegar.;2023-05-21;Neutro;0.0
368;Ótimo produto!;2023-10-03;Neutro;0.0
369;Não gostei do atendimento.;2023-08-26;Neutro;0.0
370;Atendimento muito bom, parabéns!;2023-08-18;Neutro;0.0
371;Atendimento muito bom, parabéns!;2023-03-05;Neutro;0.0
372;Atendimento muito bom, parabéns!;2022-06-11;Neutro;0.0
373;Entrega super rápida, adorei!;2022-04-09;Positivo;0.41666666666666663
374;Não gostei do atendimento.;2022-09-30;Neutro;0.0
375;Muito satisfeito com a compra.;2022-06-02;Neutro;0.0
376;Não era o que eu esperava.;2023-08-06;Neutro;0.0
377;Não era o que eu esperava.;2023-10-28;Neutro;0.0
378;Entrega super rápida, adorei!;2022-06-07;Positivo;0.41666666666666663
379;Péssima qualidade, não recomendo.;2023-07-01;Neutro;0.0
380;Produto veio com defeito.;2023-03-27;Neutro;0.0
381;Não era o que eu esperava.;2022-08-24;Neutro;0.0
382;Não era o que eu esperava.;2023-12-15;Neutro;0.0
383;Excelente custo-benefício!;2023-01-14;Neutro;0.0
384;Atendimento muito bom, parabéns!;2022-08-12;Neutro;0.0
385;Entrega super rápida, adorei!;2022-07-30;Positivo;0.41666666666666663
386;Não gostei do atendimento.;2022-10-19;Neutro;0.0
387;Péssima qualidade, não recomendo.;2022-05-31;Neutro;0.0
388;Atendimento muito bom, parabéns!;2023-11-12;Neutro;0.0
389;Muito satisfeito com a compra.;2023-10-02;Neutro;0.0
390;Entrega super rápida, adorei!;2022-03-01;Positivo;0.41666666666666663
391;Produto veio com defeito.;2022-01-29;Neutro;0.0
392;Ótimo produto!;2023-04-23;Neutro;0.0
393;Atendimento muito bom, parabéns!;2023-08-07;Neutro;0.0
394;Não gostei do atendimento.;2022-05-05;Neutro;0.0
395;Não era o que eu esperava.;2022-11-04;Neutro;0.0
396;Não gostei do atendimento.;2022-04-08;Neutro;0.0
397;Entrega super rápida, adorei!;2023-08-31;Positivo;0.41666666666666663
398;Excelente custo-benefício!;2022-08-07;Neutro;0.0
399;Demorou muito para chegar.;2022-11-22;Neutro;0.0
400;Péssima qualidade, não recomendo.;2023-03-22;Neutro;0.0
401;Entrega super rápida, adorei!;2023-10-03;Positivo;0.41666666666666663
402;Péssima qualidade, não recomendo.;2022-02-11;Neutro;0.0
403;Não gostei do atendimento.;2022-07-14;Neutro;0.0
404;Produto veio com defeito.;2022-11-22;Neutro;0.0
405;Produto veio com defeito.;2022-06-21;Neutro;0.0
406;Péssima qualidade, não recomendo.;2022-12-24;Neutro;0.0
407;Excelente custo-benefício!;2022-09-27;Neutro;0.0
408;Demorou muito para chegar.;2022-10-16;Neutro;0.0
409;Produto veio com defeito.;2022-01-05;Neutro;0.0
410;Excelente custo-benefício!;2023-06-23;Neutro;0.0
411;Excelente custo-benefício!;2022-10-01;Neutro;0.0
412;Ótimo produto!;2022-03-26;Neutro;0.0
413;Muito satisfeito com a compra.;2022-11-15;Neutro;0.0
414;Produto veio com defeito.;2022-05-11;Neutro;0.0
415;Muito satisfeito com a compra.;2022-12-29;Neutro;0.0
416;Não era o que eu esperava.;2023-11-07;Neutro;0.0
417;Atendimento muito bom, parabéns!;2023-12-11;Neutro;0.0
418;Excelente custo-benefício!;2022-09-30;Neutro;0.0
419;Atendimento muito bom, parabéns!;2023-10-07;Neutro;0.0
420;Atendimento muito bom, parabéns!;2022-01-01;Neutro;0.0
421;Ótimo produto!;2023-08-04;Neutro;0.0
422;Não era o que eu esperava.;2023-02-21;Neutro;0.0
423;Ótimo produto!;2022-06-13;Neutro;0.0
424;Atendimento muito bom, parabéns!;2023-08-16;Neutro;0.0
425;Não era o que eu esperava.;2023-10-27;Neutro;0.0
426;Ótimo produto!;2023-12-07;Neutro;0.0
427;Ótimo produto!;2022-01-09;Neutro;0.0
428;Produto veio com defeito.;2022-08-18;Neutro;0.0
429;Não gostei do atendimento.;2023-04-20;Neutro;0.0
430;Entrega super rápida, adorei!;2023-03-08;Positivo;0.41666666666666663
431;Péssima qualidade, não recomendo.;2022-04-27;Neutro;0.0
432;Entrega super rápida, adorei!;2023-01-24;Positivo;0.41666666666666663
433;Demorou muito para chegar.;2022-11-30;Neutro;0.0
434;Não era o que eu esperava.;2023-04-21;Neutro;0.0
435;Entrega super rápida, adorei!;2022-12-29;Positivo;0.41666666666666663
436;Demorou muito para chegar.;2023-01-28;Neutro;0.0
437;Excelente custo-benefício!;2023-08-18;Neutro;0.0
438;Produto veio com defeito.;2023-01-23;Neutro;0.0
439;Excelente custo-benefício!;2022-10-11;Neutro;0.0
440;Excelente custo-benefício!;2023-01-16;Neutro;0.0
441;Ótimo produto!;2022-10-08;Neutro;0.0
